Team,Team_Desc,League,Year,PF,PA,W,TF,KI,BA,Playoffs,RankSeason,RankPlayoffs,G,TA,KA,TRIES,CONVERSIONS,PENALTIES,KICK_PERC,KICK,PASS,RUN,POSS1H,POSS2H,TERR1H,TERR2H,BREAKS,DEF_BEAT,OFFLOADS,RUCKW,MAULW_PERC,TURN_CONC,TACKLES
WASPS,Wasps,AP,2017,693,502,17,89,604,,1,1,,22,305,197,87,67,38,0.79,544,3403,2524,0.58,0.50,0.28,0.26,264,539,220,0.95,0.55,300,0.88
EXET,Exeter Chiefs,AP,2017,667,452,15,86,581,,1,2,,22,275,177,80,72,31,0.80,515,3730,3209,0.59,0.59,0.31,0.28,165,452,223,0.96,0.44,307,0.84
SARAC,Saracens,AP,2017,579,345,16,66,513,,1,3,,22,140,205,65,42,54,0.70,622,2627,2378,0.48,0.47,0.49,0.49,167,342,192,0.95,0.89,315,0.86
LEICS,Leicester Tigers,AP,2017,567,445,14,58,509,,1,4,,22,240,205,56,44,59,0.80,524,3147,2550,0.56,0.56,0.33,0.36,162,391,223,0.95,0.54,301,0.86
BATH,Bath Rugby,AP,2017,486,440,12,52,434,,0,5,,22,245,195,49,41,44,0.77,603,3189,2304,0.46,0.45,0.34,0.33,182,412,197,0.95,0.67,306,0.87
HQUIN,Harlequins,AP,2017,532,526,11,57,475,,0,6,,22,295,231,57,41,55,0.79,522,3362,2620,0.51,0.52,0.29,0.30,189,448,245,0.91,0.45,286,0.84
NTHMP,Northampton Saints,AP,2017,476,490,10,52,424,,0,7,,22,250,240,51,39,46,0.77,587,2917,2392,0.47,0.51,0.30,0.31,139,315,230,0.95,0.48,293,0.85
NEWC,Newcastle Falcons,AP,2017,430,581,10,51,379,,0,8,,22,365,216,51,35,35,0.75,522,3690,2674,0.49,0.43,0.20,0.21,177,460,241,0.96,0.35,302,0.86
GLOUC,Gloucester Rugby,AP,2017,533,537,7,61,472,,0,9,,22,320,217,60,51,42,0.77,536,2871,2416,0.44,0.44,0.23,0.20,189,352,186,0.95,0.38,307,0.84
SALE,Sale Sharks,AP,2017,471,595,7,55,416,,0,10,,22,350,245,54,38,40,0.73,536,3339,2598,0.45,0.56,0.20,0.23,130,342,266,0.91,0.33,274,0.82
WORCS,Worcester Warriors,AP,2017,466,662,5,56,410,,0,11,,22,370,292,54,39,36,0.68,519,3181,2461,0.45,0.50,0.16,0.19,192,395,211,0.96,0.29,315,0.82
BTL,Bristol Rugby,AP,2017,382,707,3,42,340,,0,12,,22,470,237,42,32,35,0.73,521,3152,2422,0.31,0.44,0.20,0.19,141,350,189,0.95,0.37,313,0.85
SARAC,Saracens,AP,2016,580,376,17,60,520,,1,1,,22,180,196,36,30,31,0.40,340,1216,1091,0.28,0.24,0.25,0.20,87,141,80,0.47,0.40,120,0.84
EXET,Exeter Chiefs,AP,2016,585,361,15,71,514,,1,2,,22,200,161,52,32,21,0.39,203,1420,1285,0.29,0.30,0.13,0.15,85,247,87,0.47,0.26,142,0.84
WASPS,Wasps,AP,2016,598,397,15,71,527,,1,3,,22,210,187,30,22,29,0.41,261,1559,1237,0.22,0.31,0.13,0.14,93,228,107,0.47,0.24,165,0.87
LEICS,Leicester Tigers,AP,2016,509,475,14,55,454,,1,4,,22,240,235,31,22,30,0.42,185,1453,1121,0.27,0.33,0.13,0.14,103,217,121,0.43,0.25,149,0.77
